StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,age,choice,worthwhile,connect,waste,value,engage,attend,type,format
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed ConsentYou are being asked to participate in a study on interest in activities. The purpose of this study is to investigate the relationship between willingness to attend an event and event type. Please read the following before agreeing to be in the study. If you agree to be in this study, you will be asked to read an event description and then to rate your likelihood of attending that event. This study should take under 15 minutes for you to complete.
 

There are no anticipated significant risks, benefits or compensation for completing this study. Your responses will be strictly anonymous.
 

The decision to participate in this study is entirely up to you. You may refuse to take part in the study at any time without affecting your relationship with the investigators of this study or Smith College. Your decision will not result in any loss of benefits to which you are otherwise entitled. You have the right not to answer any single question, as well as to withdraw completely from the study at any point during the process. Your participation in this study is anonymous, therefore it will not be possible to withdraw your survey answers from the study after you have submitted the survey.
  

You have the right to ask questions about this study and to have those questions answered by us before, during or after the research. If you have any further questions about the study, at any time feel free to contact the researchers, Cara Krupnikoff-Salkin (ckrupnikoffsalkin@smith.edu), Lauren Meyer (lmeyer@smith.edu), and Nicole Reardon (nreardon@smith.edu), or our faculty advisor, Randi Garcia (rgarcia@smith.edu). If you like, a summary of the results of the study will be sent to you. If you have any other concerns about your rights as a research participant that have not been answered, or if you have any problems or concerns that occur as a result of your participation, you may contact the Smith College Institutional Review Board at irb@smith.edu or (413) 585- 3562. Alternatively, concerns can be reported by completing a Participant Complaint Form, which can found on the IRB website at https://www.smith.edu/academics/institutional-review-board/compliance
  

If you would like to keep a copy of this document for your records, please print or save this page now. You may also contact the researcher to request a copy. 
  

By clicking “I agree”, you are indicating that you are 18 years of age or older, that you have read and understood the above, and that you are freely consenting to participate in this research study.",Are you 18 years old or older?,I feel like I have a choice in whether or not to attend this event.,This event would be worthwhile for me to attend.,This event seems like a good opportunity to connect with others.,This event seems like it would be a waste of time.,I would get something out of this event.,I would engage with this event's activities.,I would likely attend this event.,type,format
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID17""}","{""ImportId"":""QID16""}","{""ImportId"":""QID19""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID12""}","{""ImportId"":""type""}","{""ImportId"":""format""}"
2021-11-30 08:53:43,2021-11-30 08:55:18,0,144.121.36.211,100,95,1,2021-11-30 08:55:18,R_Ok7SdIJWiOrx4el,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,1,1,2,5,5,1,5,5,5,business,in-person
2021-11-30 08:54:52,2021-11-30 08:55:36,0,144.121.36.209,100,43,1,2021-11-30 08:55:36,R_3DegIDLxYnGS9iv,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,1,1,5,2,4,1,4,4,5,social,in-person
2021-11-30 08:56:16,2021-11-30 08:57:28,0,144.121.36.211,100,71,1,2021-11-30 08:57:28,R_2P6caBwoMGgCl29,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,1,1,5,5,4,2,4,4,5,academic,virtual
2021-11-30 08:59:31,2021-11-30 09:00:16,0,144.121.36.209,100,45,1,2021-11-30 09:00:16,R_1KiMgIvjhfUfXFi,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,1,1,1,5,1,2,4,4,5,business,virtual
2021-11-30 09:01:13,2021-11-30 09:01:58,0,144.121.36.212,100,44,1,2021-11-30 09:01:58,R_1g5xgTP3bhsDi4S,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,1,1,5,1,1,5,2,2,1,social,virtual
2021-11-30 09:01:20,2021-11-30 09:02:11,0,144.121.36.209,100,50,1,2021-11-30 09:02:11,R_wXVV31mbYwLmYYV,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,1,1,4,5,4,1,5,4,5,academic,in-person
2021-11-30 09:00:45,2021-11-30 09:02:44,0,144.121.36.211,100,118,1,2021-11-30 09:02:44,R_XzZOYx3REYKLAD7,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,1,1,4,5,4,2,4,4,4,business,in-person
2021-11-30 09:03:24,2021-11-30 09:04:04,0,144.121.36.211,100,40,1,2021-11-30 09:04:05,R_2wA1s5KrB04Sf32,,,,,42.318206787109375,-72.64189910888671875,anonymous,EN,1,1,5,5,2,2,5,5,5,academic,virtual
